01/07/10,0,01/07/10,0,01/07/10,0,01/07/10,0,01/07/10,0,01/07/10,0,01/07/10,0,01/07/10,0
02/07/10,0,02/07/10,0,02/07/10,0,02/07/10,0,02/07/10,0,02/07/10,0,02/07/10,0,02/07/10,0
03/07/10,0,03/07/10,0,03/07/10,0,03/07/10,0,03/07/10,0,03/07/10,0,03/07/10,0,03/07/10,0
04/07/10,0,04/07/10,0,04/07/10,0,04/07/10,0,04/07/10,0,04/07/10,0,04/07/10,0,04/07/10,0
05/07/10,0,06/07/10,0,05/07/10,0,05/07/10,0,05/07/10,0,05/07/10,0,05/07/10,0,05/07/10,0
06/07/10,0,07/07/10,0,06/07/10,0,06/07/10,0,06/07/10,0,06/07/10,0,06/07/10,0,06/07/10,0
07/07/10,0,08/07/10,0,07/07/10,0,07/07/10,0,07/07/10,0,07/07/10,0,07/07/10,0,07/07/10,0
08/07/10,0,09/07/10,15.2,08/07/10,0,08/07/10,0,08/07/10,0,08/07/10,0,08/07/10,0,08/07/10,0
09/07/10,12.4,10/07/10,0,09/07/10,4.6,09/07/10,3.8,09/07/10,4.8,09/07/10,4.8,09/07/10,10.7,09/07/10,4.1
10/07/10,0,11/07/10,0,10/07/10,0,10/07/10,10.9,10/07/10,0,10/07/10,5.3,10/07/10,0,10/07/10,11.4
11/07/10,0,12/07/10,0,11/07/10,0,11/07/10,0,11/07/10,0,11/07/10,0,11/07/10,0,11/07/10,0
12/07/10,5.3,13/07/10,5.3,12/07/10,0.8,12/07/10,0,12/07/10,0.3,12/07/10,0,12/07/10,0,12/07/10,0
13/07/10,0,14/07/10,17.8,13/07/10,0,13/07/10,21.1,13/07/10,0,13/07/10,0.5,13/07/10,15.5,13/07/10,25.1
14/07/10,0,15/07/10,0.5,14/07/10,0,14/07/10,42.7,14/07/10,0,14/07/10,0,14/07/10,4.3,14/07/10,37.8
15/07/10,0,16/07/10,0,15/07/10,0,15/07/10,0,15/07/10,0,15/07/10,0,15/07/10,0,15/07/10,0
16/07/10,0,17/07/10,3.3,16/07/10,0,16/07/10,0,16/07/10,0.8,16/07/10,0,16/07/10,1.3,16/07/10,0
17/07/10,0,18/07/10,1,17/07/10,0,17/07/10,0.8,17/07/10,0,17/07/10,0,17/07/10,0,17/07/10,5.1
18/07/10,0.5,19/07/10,23.6,18/07/10,0,18/07/10,49.3,18/07/10,0,18/07/10,0,18/07/10,0,18/07/10,18
19/07/10,0,20/07/10,6.6,19/07/10,0.3,19/07/10,33.8,19/07/10,0.8,19/07/10,11.2,19/07/10,25.7,19/07/10,44.5
20/07/10,3,21/07/10,1.3,20/07/10,0,20/07/10,10.2,20/07/10,0,20/07/10,0,20/07/10,0,20/07/10,7.9
21/07/10,11.9,22/07/10,0,21/07/10,0,21/07/10,0.8,21/07/10,0,21/07/10,0,21/07/10,0,21/07/10,1.5
22/07/10,1,23/07/10,0,22/07/10,0,22/07/10,0,22/07/10,0,22/07/10,0,22/07/10,0,22/07/10,0
23/07/10,5.8,25/07/10,0,23/07/10,1.3,23/07/10,0,23/07/10,0,23/07/10,12.2,23/07/10,0,23/07/10,0
24/07/10,20.6,26/07/10,6.9,24/07/10,45.7,24/07/10,0,24/07/10,21.8,24/07/10,28.7,24/07/10,0,24/07/10,0
25/07/10,0.8,27/07/10,0,25/07/10,5.3,25/07/10,0,25/07/10,9.7,25/07/10,2,25/07/10,0,25/07/10,0
26/07/10,0,28/07/10,0,26/07/10,0,26/07/10,2.3,26/07/10,0,26/07/10,0.8,26/07/10,19.1,26/07/10,3.3
27/07/10,0,29/07/10,0,27/07/10,0,27/07/10,0,27/07/10,0,27/07/10,0,27/07/10,0,27/07/10,0
28/07/10,41.9,30/07/10,0,28/07/10,0,28/07/10,0,28/07/10,0,28/07/10,0,28/07/10,0,28/07/10,0
